electrical_capacity,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,data_source,nuts_1_region,nuts_2_region,nuts_3_region,lon,lat,municipality,postcode,region,locality,owner,site_name
0.005,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ08,CZ080,17.7597,49.7903,Opava,749 01,Moravskoslezský,Březová,,VTE Pliska
1.8,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ07,CZ071,16.8333,49.4,Prostějov,798 62,Olomoucký,Rozstání,VĚTRNÝ PARK DRAHANY a.s.,Větrná elektrárna Rozstání
1.8,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ05,CZ051,15.0333,50.95,Liberec,464 01,Liberecký,Horní Řasnice,Friendly Energy s.r.o.,VTE Horní Řasnice
0.005,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ06,CZ063,15.9,49.2,Třebíč,674 01,Vysočina,Střítež,,"VTE- 4,5kW STŘÍTEŽ"
4,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ04,CZ042,13.8833,50.675,Teplice,417 42,Ústecký,Krupka,REN Power CZ a.s.,VTE Habartice
2,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ04,CZ042,13.9833,50.7333,Ústí nad Labem,403 37,Ústecký,Petrovice,REN Power CZ a.s.,VTE Petrovice I.
2,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ04,CZ042,13.9833,50.7333,Ústí nad Labem,403 37,Ústecký,Petrovice,REN Power CZ a.s.,VTE Petrovice II.
13.8,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ08,CZ080,17.5667,49.8667,Bruntál,793 68,Moravskoslezský,Dvorce,REN Power CZ a.s.,Větrný park Červený kopec
0.003,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ05,CZ051,15.2167,50.7333,Jablonec nad Nisou,468 71,Liberecký,Lučany nad Nisou,,VTE Vavříček
0.004,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ05,CZ052,15.9167,50.5167,Trutnov,541 01,Královéhradecký,Trutnov,,Poříčská
0.002,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ05,CZ051,14.9556,50.7722,Liberec,460 14,Liberecký,Liberec,,VE Neumanová
12.3,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ05,CZ051,15.0333,50.95,Liberec,464 01,Liberecký,Višňová,VP Andělka s.r.o.,Farma větrných elektráren Andělka - 6 VTE
2.05,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ05,CZ051,15.0333,50.95,Liberec,464 01,Liberecký,Višňová,VP Andělka s.r.o.,Farma větrných elektráren Andělka - VTE č.7
0.022,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ05,CZ051,14.8333,50.8333,Liberec,463 34,Liberecký,Hrádek nad Nisou,,MVE BR1
0.022,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ05,CZ051,14.8333,50.8333,Liberec,463 34,Liberecký,Hrádek nad Nisou,,MVE BR2
4.2,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ08,CZ080,18.25,49.95,Opava,747 16,Moravskoslezský,Hať,SWPOW s.r.o.,HAT
0.003,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ06,CZ064,16.525,49.2333,Brno-město,635 00,Jihomoravský,Brno,,"VTE Aleš Pekař, MBA"
0.01,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ06,CZ063,16.2417,49.1833,Třebíč,675 73,Vysočina,Rapotice,,VĚTRNÁ ELEKTRÁRNA
0.6,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ07,CZ071,17.6167,49.6333,Přerov,753 62,Olomoucký,Potštát,VAPOL VTE s.r.o.,VE Kyžlířov
0.01,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ06,CZ064,16.6222,49.1556,Brno-město,619 00,Jihomoravský,Brno,,Jaromír Hromek SBH20
0.004,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ08,CZ080,18.7167,49.5833,Frýdek-Místek,739 81,Moravskoslezský,Milíkov,,VTE CIESLAR
0.8,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ03,CZ032,13.7,49.5333,Plzeň-jih,335 43,Plzeňský,Mladý Smolivec,V.E. Dožice s.r.o.,Větrná elektrárna E-48 Dožice
1.5,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ05,CZ051,15.0333,50.95,Liberec,464 01,Liberecký,Krásný Les,ECOENERGY - KRÁSNÝ LES s.r.o.,VTE KRÁSNÝ LES
0.004,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ05,CZ053,16.5,49.8333,Svitavy,569 12,Pardubický,Opatov,,VTE Opatov
0.5,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ05,CZ053,16.5333,49.7333,Svitavy,568 02,Pardubický,Svitavy,"E.J.R., s.r.o.",POHLEDY II - III
4,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ05,CZ053,16.7333,49.7,Svitavy,571 01,Pardubický,Gruna,Supira Consulting a.s.,"Žipotín, obec Gruna, pozemkové parcely 392/2 a 394/5"
2,Renewable energy,Wind,,Onshore,ERU,CZ0,CZ08,CZ080,17.9667,49.9833,Opava,747 33,Moravskoslezský,Oldřišov,Větrná elektrárna Oldřišov s.r.o.,Větrná elektrárna Oldřišov
